Well,AnnotationKey,AnnotationValue
A1,Treatment,Vehicle
A1,Replicate,1
A2,Treatment,Drug X
A2,Concentration,0.1 uM
A2,Replicate,1
A3,Treatment,Drug X
A3,Concentration,1 uM
A3,Replicate,1
A4,Treatment,Drug X
A4,Concentration,10 uM
A4,Replicate,1
B1,Treatment,Vehicle
B1,Replicate,2
B2,Treatment,Drug X
B2,Concentration,0.1 uM
B2,Replicate,2
B3,Treatment,Drug X
B3,Concentration,1 uM
B3,Replicate,2
B4,Treatment,Drug X
B4,Concentration,10 uM
B4,Replicate,2
C1,Treatment,Vehicle
C1,Replicate,3
C2,Treatment,Drug X
C2,Concentration,0.1 uM
C2,Replicate,3
C3,Treatment,Drug X
C3,Concentration,1 uM
C3,Replicate,3
C4,Treatment,Drug X
C4,Concentration,10 uM
C4,Replicate,3
